Id,IsDeleted,MasterRecordId,LastName,FirstName,Salutation,Name,Title,Company,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Address,Phone,Email,Website,PhotoUrl,Description,LeadSource,Status,Industry,Rating,AnnualRevenue,NumberOfEmployees,OwnerId,IsConverted,ConvertedDate,ConvertedAccountId,ConvertedContactId,ConvertedOpportunityId,IsUnreadByOwner,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,MayEdit,IsLocked,LastViewedDate,LastReferencedDate,Jigsaw,JigsawContactId,CompanyDunsNumber,DandbCompanyId,EmailBouncedReason,EmailBouncedDate,IndividualId,external_id__c,Decision_Timeframe__c,Decision_Timeline__c,Has_Budget__c,Know_Decision_Maker__c,Lead_Quality__c,Lead_Rank__c,Lead_Total__c,Project_Defined__c,Score1__c,Score2__c,Score3__c,Score4__c
00Q8c0000113yMyEAI,,,Pridgen,Jackie,,Jackie Pridgen,Chairman of the Board Chief Executive Officer,Montana Rail Link,7732 Capital,Cumming,GA,30041,USA,,,,"{""city"":""Cumming"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""30041"",""state"":""GA"",""street"":""7732 Capital""}",(521) 555-0164,jackiepridgen@mailinator.com,http://www.montanaraillink.net,/services/images/photo/00Q8c0000113yMyEAI,,Web,Contacted,Consulting,,87000000,600,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,1,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
00Q8c0000113yMzEAI,,,Paxton,John,Ms.,John Paxton,VP Operations,MacIntyre Company,4191 Cass,Advance,NC,27006,USA,,,,"{""city"":""Advance"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""27006"",""state"":""NC"",""street"":""4191 Cass""}",(892) 555-0164,johnpaxton@mailinator.com,http://www.macintyrecompany.com,/services/images/photo/00Q8c0000113yMzEAI,,Web,Working,Electronics,,39000000,1700,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,1,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
00Q8c0000113yN0EAI,,,Montelius,Dave,,Dave Montelius,CEO,Western States Insurance Agency Inc.,7962 Kolly,Mount Hermon,LA,70450,USA,,,,"{""city"":""Mount Hermon"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""70450"",""state"":""LA"",""street"":""7962 Kolly""}",(334) 555-0164,davemontelius@mailinator.com,http://www.westernstatesinsuranceagencyinc.net,/services/images/photo/00Q8c0000113yN0EAI,,Web,Working,Insurance,,4000000,500,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
00Q8c0000113yN1EAI,,,Burdette,Eric,,Eric Burdette,SVP Procurement,Story Distributing Co.,8631 Halifax Avenue,Florahome,FL,32140,USA,,,,"{""city"":""Florahome"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32140"",""state"":""FL"",""street"":""8631 Halifax Avenue""}",(722) 555-0164,ericburdette@mailinator.com,http://www.storydistributingco.com,/services/images/photo/00Q8c0000113yN1EAI,,Web,Working,Hospitality,,2000000,2000,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,1,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
00Q8c0000113yN2EAI,,,Beedle,Jesus,,Jesus Beedle,Sales Exec,The Banc Corporation,5794 Pace Cove,Tucson,AZ,85737,USA,,,,"{""city"":""Tucson"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""85737"",""state"":""AZ"",""street"":""5794 Pace Cove""}",(344) 555-0164,jesusbeedle@mailinator.com,http://www.thebanccorporation.net,/services/images/photo/00Q8c0000113yN2EAI,,Web,Working,Entertainment,,67000000,1700,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,1,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
00Q8c0000113yMxEAI,,,Goodell,Catherine,,Catherine Goodell,Vice President Operations,Energy Star,5139 Dawson Cove,Varysburg,NY,14167,USA,,,,"{""city"":""Varysburg"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""14167"",""state"":""NY"",""street"":""5139 Dawson Cove""}",(396) 555-0164,catherinegoodell@mailinator.com,http://www.energystar.com,/services/images/photo/00Q8c0000113yMxEAI,,Web,Open,Apparel,,47000000,1400,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,1,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
00Q8c0000113yN3EAI,,,Newsom,Adrian,,Adrian Newsom,Head of Partner Relations,Jtl Group,4674 State Place,Rocky Mount,MO,65072,USA,,,,"{""city"":""Rocky Mount"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""65072"",""state"":""MO"",""street"":""4674 State Place""}",(605) 555-0164,adriannewsom@mailinator.com,http://www.jtlgroup.com,/services/images/photo/00Q8c0000113yN3EAI,,Web,Working,Electronics,,97000000,1300,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,1,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
00Q8c0000113yN4EAI,,,Reseller,Tammy,,Tammy Reseller,Account Executive,ACME Resellers,1 Market,San Francisco,CA,94105,USA,,,,"{""city"":""San Francisco"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""94105"",""state"":""CA"",""street"":""1 Market""}",(415) 901-7000,trese@genwatt.com,www.acmesell.com,/services/images/photo/00Q8c0000113yN4EAI,,Web,Qualified - Convert,,,15000000,1000,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,1,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
00Q8c0000113yN5EAI,,,Plaster,Lynette,,Lynette Plaster,Sales Manager,Southern Management,8963 Osmun Way,Stinnett,TX,79083,USA,,,,"{""city"":""Stinnett"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""79083"",""state"":""TX"",""street"":""8963 Osmun Way""}",(564) 555-0164,lynetteplaster@mailinator.com,http://www.southernmanagement.net,/services/images/photo/00Q8c0000113yN5EAI,,Web,Working,Transportation,,33000000,100,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,1,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
00Q8c0000113yN6EAI,,,Reiber,Charlene,,Charlene Reiber,Type Setter,Sodexho Food,4715 Springwater,San Francisco,CA,94146,USA,,,,"{""city"":""San Francisco"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""94146"",""state"":""CA"",""street"":""4715 Springwater""}",(253) 555-0164,charlenereiber@mailinator.com,http://www.sodexhofood.net,/services/images/photo/00Q8c0000113yN6EAI,,Web,Working,Government,,99000000,400,0058c00000BTQK6AAP,,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:04:40.000+0000,,1,,,,,,,,,,,,,1,1,,"<img src=""/resource/Dollars/dollar_one.png"" alt=""one"" border=""0""/>",Medium Priority,7,,0,0,0,7
