Id,Username,LastName,FirstName,Name,CompanyName,Division,Department,Title,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Address,Email,EmailPreferencesAutoBcc,EmailPreferencesAutoBccStayInTouch,EmailPreferencesStayInTouchReminder,SenderEmail,SenderName,Signature,StayInTouchSubject,StayInTouchSignature,StayInTouchNote,Phone,Fax,MobilePhone,Alias,CommunityNickname,BadgeText,IsActive,TimeZoneSidKey,UserRoleId,LocaleSidKey,ReceivesInfoEmails,ReceivesAdminInfoEmails,EmailEncodingKey,ProfileId,UserType,LanguageLocaleKey,EmployeeNumber,DelegatedApproverId,ManagerId,LastLoginDate,LastPasswordChangeDate,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,OfflineTrialExpirationDate,OfflinePdaTrialExpirationDate,UserPermissionsMarketingUser,UserPermissionsOfflineUser,UserPermissionsAvantgoUser,UserPermissionsCallCenterAutoLogin,UserPermissionsMobileUser,UserPermissionsSFContentUser,UserPermissionsKnowledgeUser,UserPermissionsInteractionUser,UserPermissionsSupportUser,UserPermissionsJigsawProspectingUser,UserPermissionsLiveAgentUser,UserPermissionsSiteforceContributorUser,UserPermissionsSiteforcePublisherUser,UserPermissionsWorkDotComUserFeature,ForecastEnabled,UserPreferencesActivityRemindersPopup,UserPreferencesEventRemindersCheckboxDefault,UserPreferencesTaskRemindersCheckboxDefault,UserPreferencesReminderSoundOff,UserPreferencesDisableAllFeedsEmail,UserPreferencesDisableFollowersEmail,UserPreferencesDisableProfilePostEmail,UserPreferencesDisableChangeCommentEmail,UserPreferencesDisableLaterCommentEmail,UserPreferencesDisProfPostCommentEmail,UserPreferencesContentNoEmail,UserPreferencesContentEmailAsAndWhen,UserPreferencesApexPagesDeveloperMode,UserPreferencesHideCSNGetChatterMobileTask,UserPreferencesDisableMentionsPostEmail,UserPreferencesDisMentionsCommentEmail,UserPreferencesHideCSNDesktopTask,UserPreferencesHideChatterOnboardingSplash,UserPreferencesHideSecondChatterOnboardingSplash,UserPreferencesDisCommentAfterLikeEmail,UserPreferencesDisableLikeEmail,UserPreferencesSortFeedByComment,UserPreferencesDisableMessageEmail,UserPreferencesJigsawListUser,UserPreferencesDisableBookmarkEmail,UserPreferencesDisableSharePostEmail,UserPreferencesEnableAutoSubForFeeds,UserPreferencesDisableFileShareNotificationsForApi,UserPreferencesShowTitleToExternalUsers,UserPreferencesShowManagerToExternalUsers,UserPreferencesShowEmailToExternalUsers,UserPreferencesShowWorkPhoneToExternalUsers,UserPreferencesShowMobilePhoneToExternalUsers,UserPreferencesShowFaxToExternalUsers,UserPreferencesShowStreetAddressToExternalUsers,UserPreferencesShowCityToExternalUsers,UserPreferencesShowStateToExternalUsers,UserPreferencesShowPostalCodeToExternalUsers,UserPreferencesShowCountryToExternalUsers,UserPreferencesShowProfilePicToGuestUsers,UserPreferencesShowTitleToGuestUsers,UserPreferencesShowCityToGuestUsers,UserPreferencesShowStateToGuestUsers,UserPreferencesShowPostalCodeToGuestUsers,UserPreferencesShowCountryToGuestUsers,UserPreferencesHideS1BrowserUI,UserPreferencesDisableEndorsementEmail,UserPreferencesPathAssistantCollapsed,UserPreferencesCacheDiagnostics,UserPreferencesShowEmailToGuestUsers,UserPreferencesShowManagerToGuestUsers,UserPreferencesShowWorkPhoneToGuestUsers,UserPreferencesShowMobilePhoneToGuestUsers,UserPreferencesShowFaxToGuestUsers,UserPreferencesShowStreetAddressToGuestUsers,UserPreferencesLightningExperiencePreferred,UserPreferencesPreviewLightning,UserPreferencesHideEndUserOnboardingAssistantModal,UserPreferencesHideLightningMigrationModal,UserPreferencesHideSfxWelcomeMat,UserPreferencesHideBiggerPhotoCallout,UserPreferencesGlobalNavBarWTShown,UserPreferencesGlobalNavGridMenuWTShown,UserPreferencesCreateLEXAppsWTShown,UserPreferencesFavoritesWTShown,UserPreferencesRecordHomeSectionCollapseWTShown,UserPreferencesRecordHomeReservedWTShown,UserPreferencesFavoritesShowTopFavorites,UserPreferencesMyS1WelcomeSplashShown,UserPreferencesExcludeMailAppAttachments,UserPreferencesSuppressTaskSFXReminders,UserPreferencesSuppressEventSFXReminders,UserPreferencesPreviewCustomTheme,UserPreferencesHasCelebrationBadge,ContactId,AccountId,CallCenterId,Extension,PortalRole,IsPortalEnabled,IsPortalSelfRegistered,FederationIdentifier,AboutMe,FullPhotoUrl,SmallPhotoUrl,IsExtIndicatorVisible,OutOfOfficeMessage,MediumPhotoUrl,DigestFrequency,DefaultGroupNotificationFrequency,JigsawImportLimitOverride,IsPrmSuperUser,LastViewedDate,LastReferencedDate,BannerPhotoUrl,SmallBannerPhotoUrl,MediumBannerPhotoUrl,IsProfilePhotoActive,IndividualId,External_ID__c
0058c00000BTQK6AAP,admin@cdo-220329-258.demo,Block,Cindy,Cindy Block,Salesforce Demo,,,,,,,,US,,,,"{""city"":null,""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",cblock@salesforce.com,1,,1,,,,,,,,,,CBloc,User16485767579427745143,,1,America/Los_Angeles,00E8c000002sv6OEAQ,en_US,1,,UTF-8,00e8c000003OuhVAAS,Standard,en_US,,,,2022-04-04T14:56:25.000+0000,2022-03-29T18:15:30.000+0000,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:15:33.000+0000,0058c00000BTQK6AAP,2022-04-01T20:08:07.000+0000,,,1,1,,,,1,1,,1,,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/7298c000001Rslq/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/7298c000001Rslq/T,,,,N,D,300,,2022-04-04T14:56:25.000+0000,2022-04-04T14:56:25.000+0000,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,1,,User.001
0058c00000BTQKBAA5,automatedcase@00d8c000007tbseea4,System,,System,Salesforce Demo,,,,,,,,US,,,,"{""city"":null,""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",automatedcase@00d8c000007tbseea4,1,,1,,,,,,,,,,autocase,User16044183984152651097,,1,America/Los_Angeles,,en_US,1,,UTF-8,00e8c000003OuhYAAS,AutomatedProcess,en_US,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BxzHcAAJ,2022-03-29T17:59:16.000+0000,0058c00000BxzHcAAJ,2022-03-29T18:05:26.000+0000,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/T,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/M,N,N,,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,,
0058c00000BTQKCAA5,insightssecurity@00d8c000007tbseea4.com,User,Security,Security User,Salesforce Demo,,,,,,,,US,,,,"{""city"":null,""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",noreply@example.com,1,,1,,Salesforce Analytics,,,,,,,,sec,User16044185218413882808,,1,America/Los_Angeles,,en_US,1,,UTF-8,00e8c000003OuhkAAC,Standard,en_US,,,,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T18:06:30.000+0000,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/T,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/M,N,N,,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,,
0058c00000BTQT5AAP,insightsintegration@00d8c000007tbseea4.ext,Integration,Insights,Insights Integration,,,,,,,,,,,,,,insightsintegration@00d8c000007tbseea4.ext,1,,1,,,,,,,,,,insights,User16485771182921416645,,1,America/Los_Angeles,,en_US,,,UTF-8,00e8c000003OuhmAAC,Standard,en_US,,,,,,2022-03-29T18:05:18.000+0000,0058c00000BxzHcAAJ,2022-03-29T18:05:18.000+0000,0058c00000BxzHcAAJ,2022-03-29T18:06:30.000+0000,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/T,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/M,N,N,,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,,
0058c00000BTQT6AAP,b2bmaintegration@00d8c000007tbseea4.ext,Integration,B2BMA,B2BMA Integration,,,,,,,,,,,,,,b2bmaintegration@00d8c000007tbseea4.ext,1,,1,,,,,,,,,,b2bmausr,User16485771182928973145,,1,America/Los_Angeles,,en_US,,,UTF-8,00e8c000003OuhlAAC,Standard,en_US,,,,,,2022-03-29T18:05:19.000+0000,0058c00000BxzHcAAJ,2022-03-29T18:05:19.000+0000,0058c00000BxzHcAAJ,2022-03-29T18:06:30.000+0000,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/T,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/M,N,N,,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,,
0058c00000BTQT7AAP,salesforceiqintegration@00d8c000007tbseea4.ext,Integration,SalesforceIQ,SalesforceIQ Integration,,,,,,,,,,,,,,salesforceiqintegration@00d8c000007tbseea4.ext,1,,1,,,,,,,,,,siquser,User1648577118292203332,,1,America/Los_Angeles,,en_US,,,UTF-8,00e8c000003OuiRAAS,Standard,en_US,,,,,,2022-03-29T18:05:19.000+0000,0058c00000BxzHcAAJ,2022-03-29T18:05:19.000+0000,0058c00000BxzHcAAJ,2022-03-29T18:06:30.000+0000,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/T,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/M,N,N,,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,,
0058c00000BTShPAAX,kobrien@sdodata.ac.20191104160815,Obrien,Kylie,Kylie Obrien,,,,,,,,,,,,,,kobrien@sdodata.ac,1,,1,,,,,,,,,,kobrien,User16485857770092469720,,1,America/Los_Angeles,00E8c000000FBR1EAO,en_US,,,ISO-8859-1,00e8c000003OuhaAAC,Standard,en_US,,,,,,2022-03-29T20:29:37.000+0000,0058c00000BTQK6AAP,2022-03-29T20:29:37.000+0000,0058c00000BTQK6AAP,2022-03-29T20:29:44.000+0000,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/T,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/M,D,D,,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,,W_Sales_User.3
0058c00000BTShQAAX,lbaker@sdodata.ac.20191104160815,Baker,Lisa,Lisa Baker,,,,,,,,,,,,,,lbaker@sdodata.ac,1,,1,,,,,,,,,,lbaker,User1648585777009535591,,1,America/Los_Angeles,00E8c000000FBR1EAO,en_US,,,ISO-8859-1,00e8c000003OuhaAAC,Standard,en_US,,,,,,2022-03-29T20:29:37.000+0000,0058c00000BTQK6AAP,2022-03-29T20:29:37.000+0000,0058c00000BTQK6AAP,2022-03-29T20:29:44.000+0000,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/T,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/M,D,D,,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,,W_Sales_User.4
0058c00000BTShRAAX,amiller@sdodata.ac.20191104160815,Miller,Amanda,Amanda Miller,,,,,,,,,,,,,,amiller@sdodata.ac,1,,1,,,,,,,,,,amiller,User16485857770093557822,,1,America/Los_Angeles,00E8c000000FBR1EAO,en_US,,,ISO-8859-1,00e8c000003OuhaAAC,Standard,en_US,,,,,,2022-03-29T20:29:37.000+0000,0058c00000BTQK6AAP,2022-03-29T20:29:37.000+0000,0058c00000BTQK6AAP,2022-03-29T20:29:44.000+0000,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/T,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/M,D,D,,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,,W_Sales_User.1
0058c00000BTShSAAX,mpreston@sdodata.ac.20191104160815,Preston,Melissa,Melissa Preston,,,,,,,,,,,,,,mpreston@sdodata.ac,1,,1,,,,,,,,,,mpreston,User16485857770091049095,,1,America/Los_Angeles,00E8c000000FBR1EAO,en_US,,,ISO-8859-1,00e8c000003OuhaAAC,Standard,en_US,,,,,,2022-03-29T20:29:37.000+0000,0058c00000BTQK6AAP,2022-03-29T20:29:37.000+0000,0058c00000BTQK6AAP,2022-03-29T20:29:44.000+0000,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/F,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/T,,,https://cdoadmin220329-258-demo--c.documentforce.com/profilephoto/005/M,D,D,,,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,,W_Sales_User.6
