Id,Username,LastName,FirstName,Name,CompanyName,Division,Department,Title,Street,City,State,PostalCode,Country,Latitude,Longitude,GeocodeAccuracy,Address,Email,EmailPreferencesAutoBcc,EmailPreferencesAutoBccStayInTouch,EmailPreferencesStayInTouchReminder,SenderEmail,SenderName,Signature,StayInTouchSubject,StayInTouchSignature,StayInTouchNote,Phone,Fax,MobilePhone,Alias,CommunityNickname,BadgeText,IsActive,TimeZoneSidKey,UserRoleId,LocaleSidKey,ReceivesInfoEmails,ReceivesAdminInfoEmails,EmailEncodingKey,ProfileId,UserType,LanguageLocaleKey,EmployeeNumber,DelegatedApproverId,ManagerId,LastLoginDate,LastPasswordChangeDate,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,OfflineTrialExpirationDate,OfflinePdaTrialExpirationDate,UserPermissionsMarketingUser,UserPermissionsOfflineUser,UserPermissionsAvantgoUser,UserPermissionsCallCenterAutoLogin,UserPermissionsMobileUser,UserPermissionsSFContentUser,UserPermissionsKnowledgeUser,UserPermissionsInteractionUser,UserPermissionsSupportUser,ForecastEnabled,UserPreferencesActivityRemindersPopup,UserPreferencesEventRemindersCheckboxDefault,UserPreferencesTaskRemindersCheckboxDefault,UserPreferencesReminderSoundOff,UserPreferencesDisableAllFeedsEmail,UserPreferencesDisableFollowersEmail,UserPreferencesDisableProfilePostEmail,UserPreferencesDisableChangeCommentEmail,UserPreferencesDisableLaterCommentEmail,UserPreferencesDisProfPostCommentEmail,UserPreferencesApexPagesDeveloperMode,UserPreferencesHideCSNGetChatterMobileTask,UserPreferencesDisableMentionsPostEmail,UserPreferencesDisMentionsCommentEmail,UserPreferencesHideCSNDesktopTask,UserPreferencesHideChatterOnboardingSplash,UserPreferencesHideSecondChatterOnboardingSplash,UserPreferencesDisCommentAfterLikeEmail,UserPreferencesDisableLikeEmail,UserPreferencesSortFeedByComment,UserPreferencesDisableMessageEmail,UserPreferencesDisableBookmarkEmail,UserPreferencesDisableSharePostEmail,UserPreferencesEnableAutoSubForFeeds,UserPreferencesDisableFileShareNotificationsForApi,UserPreferencesShowTitleToExternalUsers,UserPreferencesShowManagerToExternalUsers,UserPreferencesShowEmailToExternalUsers,UserPreferencesShowWorkPhoneToExternalUsers,UserPreferencesShowMobilePhoneToExternalUsers,UserPreferencesShowFaxToExternalUsers,UserPreferencesShowStreetAddressToExternalUsers,UserPreferencesShowCityToExternalUsers,UserPreferencesShowStateToExternalUsers,UserPreferencesShowPostalCodeToExternalUsers,UserPreferencesShowCountryToExternalUsers,UserPreferencesShowProfilePicToGuestUsers,UserPreferencesShowTitleToGuestUsers,UserPreferencesShowCityToGuestUsers,UserPreferencesShowStateToGuestUsers,UserPreferencesShowPostalCodeToGuestUsers,UserPreferencesShowCountryToGuestUsers,UserPreferencesHideS1BrowserUI,UserPreferencesDisableEndorsementEmail,UserPreferencesPathAssistantCollapsed,UserPreferencesCacheDiagnostics,UserPreferencesShowEmailToGuestUsers,UserPreferencesShowManagerToGuestUsers,UserPreferencesShowWorkPhoneToGuestUsers,UserPreferencesShowMobilePhoneToGuestUsers,UserPreferencesShowFaxToGuestUsers,UserPreferencesShowStreetAddressToGuestUsers,UserPreferencesLightningExperiencePreferred,UserPreferencesPreviewLightning,UserPreferencesHideEndUserOnboardingAssistantModal,UserPreferencesHideLightningMigrationModal,UserPreferencesHideSfxWelcomeMat,UserPreferencesHideBiggerPhotoCallout,UserPreferencesGlobalNavBarWTShown,UserPreferencesGlobalNavGridMenuWTShown,UserPreferencesCreateLEXAppsWTShown,UserPreferencesFavoritesWTShown,UserPreferencesRecordHomeSectionCollapseWTShown,UserPreferencesRecordHomeReservedWTShown,UserPreferencesFavoritesShowTopFavorites,UserPreferencesExcludeMailAppAttachments,UserPreferencesSuppressTaskSFXReminders,UserPreferencesSuppressEventSFXReminders,UserPreferencesPreviewCustomTheme,UserPreferencesHasCelebrationBadge,ContactId,AccountId,CallCenterId,Extension,PortalRole,IsPortalEnabled,IsPortalSelfRegistered,FederationIdentifier,AboutMe,FullPhotoUrl,SmallPhotoUrl,IsExtIndicatorVisible,OutOfOfficeMessage,MediumPhotoUrl,DigestFrequency,DefaultGroupNotificationFrequency,LastViewedDate,LastReferencedDate,BannerPhotoUrl,SmallBannerPhotoUrl,MediumBannerPhotoUrl,IsProfilePhotoActive,IndividualId
0053F00000D31WiQAJ,einstein39@discovery.demo,User,User,User User,TC22 TCRM HOT,,,,,,,,US,,,,"{""city"":null,""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",bgalla@salesforce.com,1,,,,,,,,,,,,UUser,einstein39,,1,America/Los_Angeles,,en_US,,1,UTF-8,00e3F000001ZYsqQAG,Standard,en_US,,,,2022-04-05T13:47:47.000+0000,2022-04-04T16:59:55.000+0000,2022-04-04T10:42:49.000+0000,0053F00000D31WiQAJ,2022-04-04T17:00:45.000+0000,0053F00000D31WiQAJ,2022-04-04T17:05:37.000+0000,,,1,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/7293F000004Xqxn/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/7293F000004Xqxn/T,,,,D,N,2022-04-04T17:03:36.000+0000,2022-04-04T17:03:36.000+0000,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,1,
0053F00000D31WnQAJ,integration@00d3f000000i4sjuai.com,User,Integration,Integration User,New Company Name,,,,,,,,xx,,,,"{""city"":null,""country"":""xx"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",integration@example.com,1,,1,,,,,,,,,,integ,integration1.5548390367254492E12,,1,America/Los_Angeles,,en_US,1,,UTF-8,00e3F000001ZYsrQAG,Standard,en_US,,,,2022-04-05T12:52:28.000+0000,,2022-04-04T10:42:49.000+0000,0053F00000D31WoQAJ,2022-04-04T10:42:49.000+0000,0053F00000D31WoQAJ,2022-04-04T16:59:14.000+0000,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/T,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/M,N,N,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,
0053F00000D3CCOQA3,aoconnor@sdodata.ac.20191104160815,Oconnor,Alexis,Alexis Oconnor,,,,,,,,,,,,,,aoconnor@sdodata.ac,1,,1,,,,,,,,,,aoconnor,User16491275389297191477,,1,America/Los_Angeles,00E3F000001SgS3UAK,en_US,,,ISO-8859-1,00e3F000001ZYszQAG,Standard,en_US,,,,,,2022-04-05T02:58:59.000+0000,0053F00000D31WiQAJ,2022-04-05T02:58:59.000+0000,0053F00000D31WiQAJ,2022-04-05T02:59:00.000+0000,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/T,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/M,D,N,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,
0053F00000D31WoQAJ,autoproc@00d3f000000i4sjuai,Process,Automated,Automated Process,New Company Name,,,,,,,,xx,,,,"{""city"":null,""country"":""xx"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",mramsey@00d3f000000i4sjuai,1,,1,,,,,,,,,,autoproc,automatedprocess,,1,America/Los_Angeles,,en_US,1,,UTF-8,00e3F000001ZYssQAG,AutomatedProcess,en_US,,,,,,2022-04-04T10:42:49.000+0000,0053F00000D31WqQAJ,2022-04-04T10:42:49.000+0000,0053F00000D31WqQAJ,2022-04-04T16:59:14.000+0000,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/T,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/M,D,N,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,
0053F00000D31WpQAJ,agent.bh1emacumvbm.cw9bhgua2itk.ueyp3yvkgkkh.89nfoyfrufig@example.com,Agent,Service,Service Agent,New Company Name,,,,,,,,xx,,,,"{""city"":null,""country"":""xx"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",serviceagent2013@example.com,1,,1,,,,,,,,,,sagent,agent,,,America/Los_Angeles,,en_US,1,,UTF-8,00e3F000001ZYsqQAG,Standard,en_US,,,,,2013-02-19T21:57:33.000+0000,2022-04-04T10:42:49.000+0000,0053F00000D31WiQAJ,2022-04-04T10:42:49.000+0000,0053F00000D31WiQAJ,2022-04-04T16:59:14.000+0000,,,,,,,,,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/7293F000004Xqxo/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/7293F000004Xqxo/T,,,,D,N,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,1,
0053F00000D31WzQAJ,dev.uox7cr2ipfij.ne6bkoekbasy@example.com,Signup,Dev,Dev Signup,New Company Name,,,,,,,,xx,,,,"{""city"":null,""country"":""xx"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",signupdevteamdg@example.com,1,,1,,,,,,,,,,dsign,User16148069126617807629,,,America/Los_Angeles,,en_US,1,1,UTF-8,00e3F000001ZYsqQAG,Standard,en_US,,,,,2021-03-03T21:31:54.000+0000,2022-04-04T10:42:49.000+0000,0053F00000D31WiQAJ,2022-04-04T10:42:49.000+0000,0053F00000D31WiQAJ,2022-04-04T16:59:14.000+0000,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/T,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/M,D,N,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,
0053F00000D31WyQAJ,cloud@00d3f000000i4sjuai,Platform Integration User,,Platform Integration User,New Company Name,,,,,,,,xx,,,,"{""city"":null,""country"":""xx"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",noreply@00d3f000000i4sjuai,1,,1,,,,,,,,,,platint,cloud1.5548390863034268E12,,1,America/Los_Angeles,,en_US,1,,UTF-8,00e3F000001ZYsyQAG,CloudIntegrationUser,en_US,,,,,,2022-04-04T10:42:49.000+0000,0053F00000D31WqQAJ,2022-04-04T10:42:49.000+0000,0053F00000D31WqQAJ,2022-04-04T16:59:14.000+0000,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/T,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/M,N,N,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,
0053F00000D31WuQAJ,chatty.00d3f000000i4sjuai.g9v9wcuwivvs@chatter.salesforce.com,Chatter Expert,,Chatter Expert,New Company Name,,,,,,,,xx,,,,"{""city"":null,""country"":""xx"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",noreply@chatter.salesforce.com,1,,1,,,,,,,,,,Chatter,Chatter Expert,,1,America/Los_Angeles,,en_US,1,,UTF-8,00e3F000001ZYswQAG,CsnOnly,en_US,,,,,,2022-04-04T10:42:49.000+0000,0053F00000D31WiQAJ,2022-04-04T10:42:49.000+0000,0053F00000D31WiQAJ,2022-04-04T16:59:14.000+0000,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"I’m here to help you get started with Chatter. I’ll introduce you to features, create sample posts, and suggest tips and best practices.

I'm an automated user so you don't need to worry about privacy! I can't see any of your posts or files.

If I'm too noisy, have your admin or moderator deactivate me and I'll stop posting.",https://momentum-flow-8344--c.documentforce.com/profilephoto/7293F000004Xqxp/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/7293F000004Xqxp/T,,,,D,N,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,1,
0053F00000D31WrQAJ,_john.shbu0nbf92ei.zlfuo6oobgyo.0pdjmspjoegj.k5yk3zyg5wh3@example.com,Smith,John,John Smith,New Company Name,,,,,,,,xx,,,,"{""city"":null,""country"":""xx"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":null}",john@example.com,1,,1,,,,,,,(212) 555-5555,,,jsmit,john,New Company Name,,America/Los_Angeles,,en_US,1,,UTF-8,00e3F000001ZYsuQAG,CspLitePortal,en_US,,,,,2013-02-19T23:24:37.000+0000,2022-04-04T10:42:49.000+0000,0053F00000D31WiQAJ,2022-04-04T10:42:49.000+0000,0053F00000D31WiQAJ,2022-04-04T16:59:14.000+0000,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/T,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/M,N,N,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,
0053F00000D3CCNQA3,amiller@sdodata.ac.20191104160815,Miller,Amanda,Amanda Miller,,,,,,,,,,,,,,amiller@sdodata.ac,1,,1,,,,,,,,,,amiller,User16491275389292722744,,1,America/Los_Angeles,00E3F000001SgRyUAK,en_US,,,ISO-8859-1,00e3F000001ZYszQAG,Standard,en_US,,,,,,2022-04-05T02:58:59.000+0000,0053F00000D31WiQAJ,2022-04-05T02:58:59.000+0000,0053F00000D31WiQAJ,2022-04-05T02:58:59.000+0000,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/F,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/T,,,https://momentum-flow-8344--c.documentforce.com/profilephoto/005/M,D,N,,,/profilephoto/005/B,/profilephoto/005/D,/profilephoto/005/E,,
